2022-02-09 22:11:48,733 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 22:20:33,573 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:22:38,341 | MainThread   | [ERROR   ] | _connect            |: [WinError -2147024894] The system cannot find the file specified
2022-02-09 22:22:39,351 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 22:22:39,351 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:32:19,909 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-09 22:32:19,910 | MainThread   | [INFO    ] | <module>            |: info
2022-02-09 22:32:19,914 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-09 22:32:19,917 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-09 22:32:19,920 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-09 22:32:26,883 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:32:26,884 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:32:26,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:33:21,713 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-09 22:35:52,300 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-09 22:35:52,300 | MainThread   | [INFO    ] | <module>            |: info
2022-02-09 22:35:52,302 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-09 22:35:52,304 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-09 22:35:52,306 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-09 22:36:35,665 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:36:35,666 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:36:35,669 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:39:11,839 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-02-09 22:42:21,120 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-09 22:42:21,129 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-02-09 22:42:21,129 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-02-09 22:42:45,064 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-09 22:42:45,065 | MainThread   | [INFO    ] | <module>            |: info
2022-02-09 22:42:45,071 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-09 22:42:45,072 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-09 22:42:45,076 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-09 22:42:50,286 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:42:50,286 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:42:50,287 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
