2022-04-21 18:10:02,267 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:10:02,269 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -170.000)
2022-04-21 18:10:02,272 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 530.000)
2022-04-21 18:10:02,275 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:13:36,594 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:13:36,595 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:13:39,695 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:13:39,712 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:13:39,714 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 0) with prob = nan
2022-04-21 18:13:39,717 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 18:13:39,719 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:13:39,721 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -170.000)
2022-04-21 18:13:39,722 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 530.000)
2022-04-21 18:13:39,723 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:14:56,539 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:14:56,541 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:15:17,127 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:15:17,128 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:15:20,182 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:15:20,201 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
