2022-04-21 18:16:38,147 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:17:03,971 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:17:30,906 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:18:37,007 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:19:45,666 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-25 12:43:59,808 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-25 12:54:49,613 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-25 13:06:20,961 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-25 13:11:36,444 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-25 13:11:36,453 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-25 13:11:36,454 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-25 13:11:36,454 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-25 13:11:36,455 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-25 13:11:36,455 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-25 13:11:36,456 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-25 13:13:34,392 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:39:17,197 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-28 14:39:17,206 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-28 14:39:17,206 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-28 14:39:17,206 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-28 14:39:17,207 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-28 14:39:17,207 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-28 14:39:17,207 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-28 14:39:48,360 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:41:46,041 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:42:17,761 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:43:02,133 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:46:53,222 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-28 14:46:53,224 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-28 14:46:53,224 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-28 14:46:53,225 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-28 14:46:53,225 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-28 14:46:53,225 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-28 14:46:53,226 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-28 14:47:28,607 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-04-28 14:47:44,649 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-28 14:54:35,344 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
